label,manifest
"התחרות גדולה בכדור רגל של הליגה הא""י א' - מכבי א' רחובות נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111248/manifest
"התחרות הליגה הא""י לכדור רגל - מכבי א' ת""א נגד מכבי נס-ציונה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111251/manifest
התחרות מענינת ביותר בעונה הזו בכדור רגל - גדוד הסקוטים החדש א' נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111253/manifest
שבוע חנוכה במכבי,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111254/manifest
"התחרות גדולה בכדור רגל של הליגה הא""י א' - מכבי אבשלום א' - נגד מכבי א' חיפה",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111255/manifest
"התחרות יוצאת מן הכלל בין נבחרת הגדוד מידדלסקס, ירושלים",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111256/manifest
תחרות בכדורגל - נבחרת תל-אביב א' נגד נבחרת תל-אביב ב',http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111257/manifest
"התחרות גומלין בכדור רגל - הפועל א' תל-אביב, מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111262/manifest
"התחרות בכדור רגל על הליגה הא""י - מכבי חשמונאי, מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111263/manifest
התחרות גדולה בכדור רגל - הפועל א' חיפה נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111270/manifest
התחרות גדולה בכדור רגל - הפועל א' חיפה נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111276/manifest
"התחרות בכדור רגל על הגביע הא""י - מכבי חשמונאי ירושלים נגד מכבי א' תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111280/manifest
"התחרות בכדורגל - נבחרת א' ת""א נגד נבחרת ב' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111282/manifest
"התחרות בכדורגל - המשטרה הבריטית נגד מכבי א' ת""א",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111289/manifest
"התחרות בכורה בכדורגל - הפועל, ירושלים נגד מכבי תל-אביב",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111292/manifest
התחרות ממשחקי הבכורה - מכבי חשמונאי ירושלים נגד מכבי תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111304/manifest
התחרות גדולה בכדור רגל של הליגה א' - מכבי א' רחובות נגד מכבי א' חיפה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111305/manifest
התחרות ממשחקי הבכורה - הפועל חיפה נגד מכבי תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111306/manifest
סבוב שני - הפועל תל-אביב נגד מכבי תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111312/manifest
התחרות בכדור רגל- בין .P.G.H D ובין מכבי א' תל-אביב,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111347/manifest
"התחרות בכורה במשחקי הליגה הא""י - מכבי אבשלום א' פתח-תקוה נגד הפועל א' חיפה.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111379/manifest
"התחרות על הגביע העולמי - נבחרת א""י , נבחרת מצרית.",http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111439/manifest
לקראת המכביה השניה - התחרות ארצית גדולה בבוקס.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111488/manifest
מרוץ הסוסים השלישי - בהשתתפות טובי הרוכבים מהארץ ומעבר הירדן,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111615/manifest
מרוץ הסוסים האחרון בתקופת התערוכה,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111616/manifest
The Seventh Horse Race Meeting.,http://iiif.nli.org.il/IIIFv21/DOCID/NNL_Ephemera700111626/manifest
