description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
ארץ ישראל,אלבום רוג'ר ו. שטרויס - קרן היסוד.,אלבום רוג'ר ו. שטרויס - קרן היסוד.,1937,NNL01,,1937,ARCHIVE,50 Photographs : b&w..,heb,003428523,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428523,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Roger W. Straus - Keren Hayesod Album [Album of photographs].""]"
ארץ ישראל,עבודת הקרן הקימת בתמונות [אלבום תצלומים].,עבודת הקרן הקימת בתמונות [אלבום תצלומים].,1937,NNL01,"שויג, שמואל יוסף, 1902-1984 1902-1984 צלם",1937,ARCHIVE,31 Photographs : b&w..,eng,003428553,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428553,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Keren Kayemet Work in Pictures [Album of photographs].""]"
ארץ ישראל,"שכון - חברה לשכונות העובדים בע""מ [אלבום תצלומים].","שכון - חברה לשכונות העובדים בע""מ [אלבום תצלומים].",1937,NNL01,,1937,ARCHIVE,6 Photographs : b&w..,yid,003430600,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003430600,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Shikun - Workers Housing Co. Ltd. [Album of photographs].""]"
ארץ ישראל,Bilder aus Ben Schemen für Martin Buber von der Jüdische Waisenhilfe [Album of photographs].,Bilder aus Ben Schemen für Martin Buber von der Jüdische Waisenhilfe [Album of photographs].,1938,NNL01,,1938,ARCHIVE,48 Photographs : b&w..,ger,003535703,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003535703,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""[Photographs of Ben Shemen Youth Village, Dedicated to Martin Buber]."", ""תצלומי כפר הנוער בן שמן, מוקדשים למרטין בובר [אלבום תצלומים].""]"
ארץ ישראל,אלבום שלמה זלמן שוקן [אלבום תצלומים].,אלבום שלמה זלמן שוקן [אלבום תצלומים].,1938,NNL01,,1938,ARCHIVE,6 Photographs : b&w ; 225 X 285 mm..,heb,003752856,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003752856,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Salman Schocken Aerial photographs of Palestine Album [Album of photographs]"", ""Sechs Flugaufnahmen aus Palästina.""]"
ארץ ישראל,אלבום שלמה זלמן שוקן [אלבום תצלומים].,אלבום שלמה זלמן שוקן [אלבום תצלומים].,1938,NNL01,,1938,ARCHIVE,10 Photographs : b&w ; 225 X 285 mm..,heb,003752880,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003752880,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Salman Schocken Aerial photographs of Palestine Album [Album of photographs]"", ""Zehn Flugaufnahmen aus Palästina.""]"
ארץ ישראל,אלבום שלמה זלמן שוקן [אלבום תצלומים].,אלבום שלמה זלמן שוקן [אלבום תצלומים].,1938,NNL01,,1938,ARCHIVE,40 Photographs : b&w ; 225 X 285 mm..,heb,003752972,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003752972,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Salman Schocken Aerial photographs of Palestine Album [Album of photographs]""]"
ארץ ישראל,"מלון קליה, ים המלח [אלבום תצלומים].","מלון קליה, ים המלח [אלבום תצלומים].",1938,NNL01,"גולדשמידט, פריץ צלם",1938,ARCHIVE,24 Photographs : b&w ; 9X13 Cm..,eng,003428852,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003428852,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""The Kallia Hotel at the Dead Sea [Album of photographs].""]"
ארץ ישראל,"אלבום תצלומי חוג ""יבנה"", ירושלים [אלבום תצלומים].","אלבום תצלומי חוג ""יבנה"", ירושלים [אלבום תצלומים].",1939-1947,NNL01,,1939-1947,ARCHIVE,27 Photographs : b&w..,heb,003426950,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003426950,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Yavne Students Group Photographs of Jerusalem [Album of photographs].""]"
ארץ ישראל,ניסויים בזני חיטה [אלבום תצלומים].,ניסויים בזני חיטה [אלבום תצלומים].,1949-1967,NNL01,,1949-1967,ARCHIVE,17 Photographs : b&w..,heb,003863492,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL01_TMA003863492,"[""אוסף התצלומים, הספרייה הלאומית""]","[""ארץ ישראל""]","[""Experiments in cultivated forms of wheat [Album of photographs].""]"
