description,label,title,publisher,base,the_creator,creation_date,type,format,language,sysnum,related,attribution,subject,alternative_title
Abu Ghosh (Israel) -- Photographs,הבחירות לאסיפה המכוננת: קלפי באבו גוש.,הבחירות לאסיפה המכוננת: קלפי באבו גוש.,,NNL01,,,image,"1 photograph : b&w, ; 94X137 mm..",,003557811,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003557811,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Abu Ghosh (Israel) -- Photographs""]","[""Polling Station at Abu Ghosh during the elections to the Constituent Assembly, January 1949.]""]"
Tel Aviv-Yafo (Israel) -- Photographs,"חיילי יחידת המעוטים של צה""ל צועדים ב""יום הצבא"", כ' תמוז תש""ט -[Soldiers of the IDF Minority Unit march in Army Day Parade, Tel Aviv, 17.7.1949] [picture]","חיילי יחידת המעוטים של צה""ל צועדים ב""יום הצבא"", כ' תמוז תש""ט -[Soldiers of the IDF Minority Unit march in Army Day Parade, Tel Aviv, 17.7.1949] [picture]",,NNL01,,,image,"1 photograph : b&w, ; 86 X 136 mm..",,003570376,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003570376,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Tel Aviv-Yafo (Israel) -- Photographs""]","[""[Soldiers of the IDF Minority Unit march in Army Day Parade, Tel Aviv, 17.7.1949]""]"
Tel Aviv-Yafo (Israel) -- Photographs,"חיילי צה""ל צועדים ב""יום הצבא"", כ' תמוז תש""ט -[IDF Soldiers march in Army Day Parade, Tel Aviv, 17.7.1949] [picture]","חיילי צה""ל צועדים ב""יום הצבא"", כ' תמוז תש""ט -[IDF Soldiers march in Army Day Parade, Tel Aviv, 17.7.1949] [picture]",,NNL01,,,image,"2 photographs : b&w, ; 136 X 142 mm..",,003573485,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573485,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Tel Aviv-Yafo (Israel) -- Photographs""]","[""[IDF Soldiers march in Army Day Parade, Tel Aviv, 17.7.1949]""]"
,טקס השבעתו של חיים וייצמן לנשיא מדינת ישראל.,טקס השבעתו של חיים וייצמן לנשיא מדינת ישראל.,,NNL01,,,image,"1 photograph : b&w, ; 109 X 164 mm..",,003564656,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003564656,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[Inauguration Ceremony of Israel's First President, Prof. Chaim Weizmann. ]""]"
קרן היסוד. המחלקה לנער; Biriyya (Israel),"ישובי קרן היסוד - מבצרי עוז בימי מלחמה, מקורות מחיה לעם בימי שלום.","ישובי קרן היסוד - מבצרי עוז בימי מלחמה, מקורות מחיה לעם בימי שלום.",,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003712421,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003712421,"[""אוסף התצלומים, הספרייה הלאומית""]","[""קרן היסוד. המחלקה לנער; Biriyya (Israel)""]","[""Keren HaYesod Settlements.""]"
"Jerusalem Old City (Israel) -- Photographs; Tower of David (Jerusalem, Israel) -- Photographs; Mount of Olives (Jerusalem, Israel) -- Photographs",Jerusalem.,Jerusalem.,,NNL01,,,image,1 postcard : b&w ; 100 X 146 mm..,,003702787,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003702787,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem Old City (Israel) -- Photographs; Tower of David (Jerusalem, Israel) -- Photographs; Mount of Olives (Jerusalem, Israel) -- Photographs""]","[""[ירושלים, העיר העתיקה]""]"
Israel -- Photographs,"Tree Nursery at Ilanot, Near Kfar Vitkin -פועלים במשתלת אילנות, סמוך לכפר ויתקין [תמונה]","Tree Nursery at Ilanot, Near Kfar Vitkin -פועלים במשתלת אילנות, סמוך לכפר ויתקין [תמונה]",,NNL01,,,image,1 photograph : b&w ; 13 X 18 cm..,,002723490,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL002723490,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Israel -- Photographs""]","[""פועלים במשתלת אילנות, סמוך לכפר ויתקין""]"
Jerusalem (Israel) -- Photographs,"Yemenite workers at the embroidery workshops ""Shani"", Jerusalem.","Yemenite workers at the embroidery workshops ""Shani"", Jerusalem.",,NNL01,,,image,"1 photograph : b&w, ; 90 X 130 mm..",,003569466,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003569466,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Jerusalem (Israel) -- Photographs""]","[""[יהודים מעולי תימן רוקמים במפעל \""שני\"", ירושלים]""]"
Israel -- Photographs,אנדרטת הגבורה על יד יער חולדה.,אנדרטת הגבורה על יד יער חולדה.,,NNL01,,,image,"1 photograph : b&w, ; 128 X 178 mm..",,003573411,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003573411,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Israel -- Photographs""]","[""[Heroism Monument to the Forgers of the Way to Jerusalem].""]"
Israel -- Photographs,"בניית צריפי פח במושב עגור, פרוזדור ירושלים.","בניית צריפי פח במושב עגור, פרוזדור ירושלים.",,NNL01,,,image,"1 photograph : b&w, ; 84 X 119 mm..",,003569467,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003569467,"[""אוסף התצלומים, הספרייה הלאומית""]","[""Israel -- Photographs""]","[""[Building tin huts before winter comes in Agur, transition village in the Kerusalem Corridor.]""]"
,"בנות חצרמות, מעברת עין שמר, 1950.","בנות חצרמות, מעברת עין שמר, 1950.",,NNL01,"גרזון-קיוי, אסתר, 1908-1992 צלם",,image,"1 photograph : b&w, ; 84 X 128 mm..",,003486907,http://merhav.nli.org.il/primo_library/libweb/action/display.do?tabs=detailsTab&ct=display&fn=search&doc=NNL_ARCHIVE_AL003486907,"[""אוסף התצלומים, הספרייה הלאומית""]",[null],"[""[A Group of Young Newcomers from Hadhramaut, Yemen, in Ein Shemer Transit Camp, 1950.]""]"
